# Data for CCAM																																																																																																																																																																																																					
# y																																																																																																																																																																																																						
1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013																																																																																																																																																									
0.19	0.146	0.114	0.152	0.098	0.098	0.203	0.163	0.214	0.203	0.169	0.28	0.251	0.184	0.18	0.232	0.197	0.224	0.24	0.157	0.186	0.208	0.139	0.161	0.207	0.212	0.11	0.204	0.206	0.175	0.208	0.148	0.188	0.169	0.175																																																																																																																																																																				
0.272	0.376	0.315	0.34	0.257	0.162	0.393	0.306	0.309	0.398	0.329	0.331	0.336	0.297	0.28	0.371	0.3	0.333	0.375	0.273	0.298	0.328	0.28	0.294	0.314	0.281	0.306	0.316	0.308	0.293	0.316	0.348	0.293	0.339	0.305																																																																																																																																																																				
0.531	0.548	0.523	0.541	0.479	0.338	0.399	0.435	0.405	0.467	0.45	0.416	0.435	0.408	0.361	0.384	0.435	0.433	0.448	0.412	0.439	0.409	0.401	0.389	0.387	0.394	0.385	0.429	0.427	0.416	0.416	0.431	0.428	0.414	0.444																																																																																																																																																																				
0.567	0.609	0.577	0.606	0.593	0.525	0.505	0.436	0.483	0.502	0.545	0.534	0.478	0.449	0.446	0.461	0.488	0.535	0.524	0.517	0.509	0.488	0.475	0.464	0.49	0.48	0.466	0.482	0.503	0.497	0.495	0.527	0.491	0.503	0.469																																																																																																																																																																				
0.579	0.617	0.643	0.666	0.628	0.625	0.601	0.52	0.506	0.549	0.619	0.62	0.564	0.508	0.489	0.554	0.532	0.543	0.594	0.577	0.569	0.564	0.562	0.498	0.554	0.554	0.52	0.544	0.582	0.536	0.58	0.575	0.565	0.563	0.589																																																																																																																																																																				
0.603	0.635	0.66	0.743	0.659	0.657	0.742	0.671	0.599	0.579	0.618	0.628	0.627	0.552	0.547	0.549	0.607	0.595	0.601	0.603	0.649	0.61	0.625	0.607	0.667	0.593	0.618	0.569	0.629	0.612	0.605	0.661	0.574	0.68	0.592																																																																																																																																																																				
0.652	0.672	0.674	0.737	0.712	0.696	0.767	0.784	0.701	0.67	0.66	0.676	0.644	0.616	0.607	0.594	0.616	0.647	0.635	0.665	0.703	0.658	0.668	0.637	0.726	0.661	0.654	0.655	0.665	0.644	0.675	0.652	0.704	0.713	0.709																																																																																																																																																																				
0.714	0.705	0.707	0.722	0.709	0.715	0.779	0.8	0.785	0.732	0.753	0.678	0.724	0.672	0.664	0.643	0.661	0.684	0.757	0.666	0.719	0.674	0.693	0.666	0.828	0.754	0.698	0.679	0.711	0.587	0.612	0.602	0.649	0.696	0.657																																																																																																																																																																				
0.752	0.781	0.723	0.719	0.705	0.705	0.84	0.856	0.888	0.795	0.81	0.724	0.712	0.678	0.699	0.714	0.738	0.729	0.7	0.721	0.73	0.697	0.758	0.671	0.839	0.682	0.708	0.667	0.767	0.724	0.707	0.716	0.65	0.645	0.648																																																																																																																																																																				
0.769	0.743	0.756	0.74	0.727	0.709	0.866	0.844	0.892	0.876	0.884	0.863	0.816	0.694	0.724	0.714	0.799	0.845	0.751	0.716	0.769	0.704	0.775	0.696	0.68	0.68	0.665	0.679	0.692	0.733	0.775	0.667	0.71	0.689	0.689																																																																																																																																																																				
